;tweetid;stance;senti;target;moral;toxic;act;vad
29;588537400378273792;NONE;POSITIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.3911111111111112, 0.24688888888888888, 0.3947777777777778]
30;588538696258826240;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.5247333333333333, 0.3062666666666667, 0.49413333333333337]
31;588548353182420993;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.5247333333333333, 0.3062666666666667, 0.49413333333333337]
32;588570506657275905;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.4037, 0.24089999999999998, 0.3558]
33;588581233740812288;FAVOR;NEGATIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.45309999999999995, 0.2908, 0.41150000000000003]
34;588595888580272130;NONE;POSITIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.7336153846153846, 0.4231538461538461, 0.5189230769230769]
35;588596464751747072;AGAINST;NEGATIVE;Atheism;[1, 0, 1, 0, 0, 0, 0, 0, 0, 0];toxic;sta;[0.4033333333333333, 0.3057777777777778, 0.44422222222222224]
36;588631170721550336;NONE;NEITHER;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];toxic;oth;[0.296, 0.2042, 0.1968]
37;588660923818119168;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.6075, 0.29800000000000004, 0.48808333333333337]
38;588670702863147008;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.29325, 0.205, 0.269625]
39;588673926680727552;AGAINST;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.6695000000000001, 0.2686428571428571, 0.49328571428571427]
40;588678441249050624;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.26457142857142857, 0.2855714285714286, 0.30271428571428577]
41;588680344443949057;AGAINST;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1];non_toxic;exp;[0.49866666666666665, 0.2805, 0.45658333333333334]
42;588698080012148736;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.5902631578947367, 0.44963157894736827, 0.559]
43;588705428835422210;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 1, 0];non_toxic;sta;[0.4035625, 0.2483125, 0.3399375]
44;588713429210271745;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;sug;[0.4258571428571428, 0.3534285714285715, 0.41028571428571425]
45;588717513615224835;FAVOR;NEITHER;Atheism;[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;sug;[0.23038461538461535, 0.1496153846153846, 0.1806153846153846]
46;588723551110307840;FAVOR;POSITIVE;Atheism;[0, 0, 0, 0, 0, 1, 0, 1, 0, 0];non_toxic;oth;[0.32728571428571435, 0.2227142857142857, 0.2594285714285714]
47;588724479569874944;NONE;POSITIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.553125, 0.325125, 0.55025]
48;588735809873928192;AGAINST;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.543, 0.2980833333333333, 0.44941666666666674]
49;588759657042214912;FAVOR;NEITHER;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.41966666666666663, 0.31450000000000006, 0.3618333333333334]
50;592545799113945088;FAVOR;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.4143636363636363, 0.29563636363636364, 0.3996363636363636]
51;592550315548782593;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.4418666666666667, 0.2342, 0.37793333333333334]
52;592573245842403328;FAVOR;NEGATIVE;Atheism;[0, 1, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;que;[0.4835, 0.34600000000000003, 0.5551666666666667]
53;592585625553018880;AGAINST;POSITIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;que;[0.3678, 0.27149999999999996, 0.3347]
54;592587052983681024;AGAINST;POSITIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.112, 0.048125, 0.075]
55;592589103251726337;NONE;NEGATIVE;Atheism;[1, 0, 0, 1, 0, 0, 1, 0, 1, 0];non_toxic;sta;[0.4083333333333334, 0.22806666666666667, 0.3004]
56;592600179892723713;FAVOR;NEGATIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.4328888888888889, 0.47822222222222227, 0.5188888888888888]
57;592609434209284096;FAVOR;NEGATIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.36092307692307696, 0.2599230769230769, 0.33338461538461533]
58;592642858907078656;NONE;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.3772307692307692, 0.2222307692307692, 0.35138461538461535]
59;592644794968604673;FAVOR;NEGATIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.6380000000000001, 0.3133333333333333, 0.5368888888888889]
60;592645700032139264;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 1, 0, 1];non_toxic;sta;[0.714375, 0.37825000000000003, 0.665625]
61;592646578889953280;NONE;POSITIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.437, 0.28507692307692306, 0.374]
62;592646753322598401;FAVOR;POSITIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.39984615384615385, 0.31023076923076925, 0.4048461538461539]
63;592663440491184128;NONE;POSITIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.3172857142857143, 0.17614285714285713, 0.2782142857142857]
64;592668793979174913;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;sug;[0.4704, 0.3361, 0.42699999999999994]
65;592673183561609216;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];non_toxic;oth;[0.4676, 0.32480000000000003, 0.4732]
66;592689049321758721;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];non_toxic;exp;[0.49437499999999995, 0.424375, 0.518375]
67;592698985510473730;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 1, 1, 0, 0, 0];non_toxic;exp;[0.5829285714285714, 0.38907142857142857, 0.5091428571428571]
68;592713228049915905;AGAINST;NEGATIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.45, 0.4688333333333334, 0.42616666666666664]
69;592713655772422145;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.39080000000000004, 0.2415, 0.3527]
70;592718926141874177;FAVOR;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.3528823529411764, 0.2875294117647059, 0.3342352941176471]
71;592719471380459520;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.6665714285714286, 0.5987142857142856, 0.7169285714285714]
72;592719861555552257;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];toxic;sta;[0.4074444444444445, 0.1958888888888889, 0.34288888888888885]
73;592725998145302528;AGAINST;NEGATIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.5039, 0.3108, 0.5275000000000001]
74;592729957396258816;FAVOR;NEITHER;Atheism;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;oth;[0.3469166666666667, 0.27916666666666673, 0.34708333333333335]
75;592740319466237954;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.27270000000000005, 0.3664, 0.3304]
76;592764079086903297;NONE;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.6237857142857143, 0.45500000000000007, 0.6150714285714285]
77;592773254399524865;FAVOR;NEITHER;Atheism;[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];toxic;oth;[0.4075, 0.4121666666666666, 0.40616666666666673]
78;592800480578928640;FAVOR;NEGATIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;exp;[0.3088, 0.3034, 0.34700000000000003]
79;592825290868584449;NONE;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.4810000000000001, 0.309, 0.4343333333333333]
80;592826807608602624;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.43250000000000005, 0.287, 0.4267857142857143]
81;592842984674238465;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.4343846153846154, 0.23823076923076927, 0.3809230769230769]
82;592846653897441281;FAVOR;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];toxic;oth;[0.3428888888888889, 0.4018888888888889, 0.4267777777777777]
83;592848362942144512;NONE;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];toxic;sta;[0.19723076923076924, 0.31546153846153846, 0.2754615384615385]
84;592849159792762880;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;oth;[0.5386666666666667, 0.3446666666666667, 0.4673333333333333]
85;592852871345008641;NONE;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.29518181818181816, 0.22763636363636364, 0.2615454545454546]
86;592857977541042176;NONE;NEGATIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.0262, 0.126, 0.0424]
87;592863849285550080;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.5605, 0.2870625, 0.44643749999999993]
88;592878699327926273;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.3999285714285715, 0.22185714285714284, 0.3645714285714286]
89;592882047661776898;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.3171111111111111, 0.17733333333333334, 0.19422222222222219]
90;592889682347872258;NONE;NEGATIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.18299999999999997, 0.21577777777777776, 0.23566666666666666]
91;592893757537841153;AGAINST;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.221875, 0.142, 0.18262499999999998]
92;592898018120232960;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.5989285714285714, 0.43428571428571433, 0.5316428571428571]
93;592914591899856896;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.33615384615384614, 0.2543076923076923, 0.2793846153846154]
94;592928753979887616;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.3568571428571428, 0.15050000000000002, 0.2532142857142857]
95;592932043689951232;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 1, 0, 0, 0, 1, 0];non_toxic;oth;[0.4645384615384615, 0.269, 0.39961538461538465]
96;592932253212237825;FAVOR;NEGATIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.4253636363636364, 0.2241818181818182, 0.4269090909090909]
97;592938824440877056;AGAINST;NEITHER;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.6978, 0.5845, 0.6184999999999999]
98;592940859118657536;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.4236666666666667, 0.23720000000000002, 0.376]
99;592946405184032769;FAVOR;NEITHER;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.3939166666666667, 0.27408333333333335, 0.37516666666666665]
100;592967106943148032;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.4950769230769231, 0.21369230769230774, 0.33615384615384614]
101;592968169137909761;FAVOR;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sug;[0.27566666666666667, 0.24483333333333335, 0.3368333333333333]
102;592971084015763456;FAVOR;NEGATIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.5672857142857143, 0.34299999999999997, 0.5091428571428571]
103;592976629841833984;FAVOR;NEGATIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.6195833333333334, 0.31525, 0.5064166666666666]
104;593006757753978883;AGAINST;POSITIVE;Atheism;[0, 1, 0, 1, 0, 1, 0, 0, 0, 0];non_toxic;sta;[0.2541111111111111, 0.18433333333333335, 0.25355555555555553]
105;593010438608138240;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 1, 0, 0, 0, 0];non_toxic;oth;[0.5021, 0.31070000000000003, 0.48650000000000004]
106;593021898801348608;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];non_toxic;exp;[0.3854285714285715, 0.22164285714285717, 0.36392857142857143]
107;593025890675601409;AGAINST;NEGATIVE;Atheism;[1, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.5670000000000001, 0.3605, 0.5444]
108;593026211070152704;FAVOR;NEGATIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;sug;[0.27864285714285714, 0.3575714285714286, 0.3429285714285714]
109;593048933330456576;FAVOR;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];toxic;sta;[0.3611, 0.36130000000000007, 0.3487]
110;593052179407228928;AGAINST;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.3480714285714286, 0.193, 0.23014285714285715]
111;593060301232279552;NONE;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sug;[0.3426666666666667, 0.339, 0.3535]
112;593066167104839680;NONE;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.1025, 0.027833333333333335, 0.0385]
113;593067623648210944;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.5026, 0.3588, 0.4469]
114;593082258560528385;AGAINST;NEGATIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.6857777777777777, 0.48644444444444446, 0.62]
115;593083730568224768;AGAINST;POSITIVE;Atheism;[0, 1, 1, 0, 0, 0, 0, 0, 1, 0];non_toxic;oth;[0.6415, 0.33190000000000003, 0.5024]
116;593089119259090944;AGAINST;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];toxic;sug;[0.18075, 0.375875, 0.280625]
117;593096169196228608;AGAINST;NEGATIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];toxic;sug;[0.3905, 0.281, 0.40525]
118;593096871385501696;FAVOR;NEGATIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.4894545454545454, 0.3386363636363636, 0.47881818181818186]
119;593098725054095360;FAVOR;NEGATIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1];toxic;exp;[0.4131666666666666, 0.29183333333333333, 0.39299999999999996]
120;593113642826072065;AGAINST;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.239125, 0.356625, 0.3785]
121;593116187094953984;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.5964615384615385, 0.34923076923076923, 0.5483076923076923]
122;593119236580462592;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.70375, 0.35025, 0.6862499999999999]
123;593120368291905536;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.44129411764705884, 0.3195294117647059, 0.4044705882352941]
124;593139686870093824;NONE;NEGATIVE;Atheism;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;sta;[0.25684615384615384, 0.3305384615384615, 0.2938461538461538]
125;593144056173072384;FAVOR;NEGATIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.2591428571428572, 0.18707142857142856, 0.2953571428571428]
126;593156203926007808;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.32766666666666666, 0.22044444444444444, 0.32699999999999996]
127;593164793181274113;NONE;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.3865714285714286, 0.2924285714285714, 0.31828571428571434]
128;593172605743472640;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.49776470588235305, 0.30052941176470593, 0.4055294117647059]
129;593175825878523904;FAVOR;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.7521111111111112, 0.5467777777777778, 0.8817777777777779]
130;593176167290658817;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 0, 1, 0, 0, 0, 0];non_toxic;sug;[0.5769230769230769, 0.3332307692307692, 0.5071538461538462]
131;593185248646692865;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.5291428571428571, 0.363, 0.435]
132;593188061804142592;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.16112500000000002, 0.104875, 0.154125]
133;593188787078979584;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 0, 0, 1, 0, 0, 0];non_toxic;exp;[0.5416153846153846, 0.27207692307692305, 0.5006153846153846]
134;593192277276762112;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];non_toxic;exp;[0.31553846153846155, 0.14876923076923076, 0.2925384615384615]
135;593194430368186368;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0];toxic;exp;[0.405125, 0.248375, 0.3635]
136;593201047272890369;NONE;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.8864666666666667, 0.4136666666666667, 0.7824000000000002]
137;593207590290628608;AGAINST;NEGATIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];toxic;exp;[0.3859, 0.24819999999999998, 0.3174]
138;593225877141360640;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.41892307692307695, 0.29123076923076924, 0.3532307692307692]
139;593242113548095489;AGAINST;POSITIVE;Atheism;[1, 0, 0, 1, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.4891666666666667, 0.3378333333333334, 0.4476666666666667]
140;593254123568439296;AGAINST;POSITIVE;Atheism;[0, 0, 0, 1, 0, 0, 1, 0, 0, 0];non_toxic;sug;[0.25345454545454543, 0.19490909090909092, 0.22445454545454543]
141;593265651336122368;FAVOR;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];toxic;exp;[0.2922857142857143, 0.26635714285714285, 0.33485714285714285]
142;593268443903832064;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.7715, 0.5574, 0.8417]
143;593278186206691329;FAVOR;NEGATIVE;Atheism;[0, 0, 1, 0, 1, 0, 1, 0, 0, 0];toxic;sta;[0.139625, 0.093625, 0.1625]
144;593282774913708032;FAVOR;NEGATIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];toxic;sta;[0.24711111111111114, 0.09533333333333333, 0.22999999999999998]
145;593283621022203904;FAVOR;NEGATIVE;Atheism;[0, 1, 0, 0, 1, 0, 0, 0, 0, 1];toxic;exp;[0.5795714285714286, 0.3647142857142857, 0.5828571428571429]
146;593287755171536896;AGAINST;NEGATIVE;Atheism;[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;sta;[0.685125, 0.47725000000000006, 0.7695]
147;593296863740067840;NONE;NEGATIVE;Atheism;[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];toxic;exp;[0.30023076923076925, 0.23846153846153847, 0.27884615384615385]
148;593299340346728448;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.5549999999999999, 0.3678571428571429, 0.5017857142857143]
149;593325489961508865;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.4208571428571428, 0.21385714285714288, 0.43757142857142856]
